"","corona_clo"
"1",0.000171821305841924
"2",0.00018037518037518
"3",0.00021079258010118
"4",0.00021079258010118
"5",0.00021079258010118
"6",0.000235404896421846
"7",0.00021079258010118
"8",0.000171821305841924
"9",0.000171821305841924
"10",0.000171821305841924
"11",0.00021079258010118
"12",0.00021079258010118
"13",0.000171821305841924
"14",0.000171821305841924
"15",0.000195007800312012
"16",0.000171821305841924
"17",0.000171821305841924
"18",0.000212675457252233
"19",0.000213128729752771
"20",0.000138811771238201
"21",0.000211327134404057
"22",0.000212675457252233
"23",0.000163559044815178
"24",0.000163559044815178
"25",0.000175438596491228
"26",0.000175438596491228
"27",0.000175438596491228
"28",0.000175438596491228
"29",0.000175438596491228
"30",0.000175438596491228
"31",0.000138811771238201
"32",0.000213128729752771
"33",0.000138811771238201
"34",0.000138811771238201
"35",0.000138811771238201
"36",0.000138811771238201
"37",0.000138811771238201
"38",0.000138811771238201
"39",0.000138811771238201
"40",0.000138811771238201
"41",0.000138811771238201
"42",0.000138811771238201
"43",0.000138811771238201
"44",0.000138811771238201
"45",0.000138811771238201
"46",0.000232018561484919
"47",0.000206868018204386
"48",0.000189681335356601
"49",0.000189681335356601
"50",0.000198098256735341
"51",0.000189681335356601
"52",0.000228102189781022
"53",0.000189681335356601
"54",0.000189681335356601
"55",0.000189681335356601
"56",0.000189681335356601
"57",0.000193348801237432
"58",0.000189681335356601
"59",0.000189681335356601
"60",0.000189681335356601
"61",0.000189681335356601
"62",0.000189681335356601
"63",0.000189681335356601
"64",0.000189681335356601
"65",0.000189681335356601
"66",0.000246913580246914
"67",0.000189681335356601
"68",0.000223613595706619
"69",0.000189681335356601
"70",0.000189681335356601
"71",0.000189681335356601
"72",0.000189681335356601
"73",0.000189681335356601
"74",0.000189681335356601
"75",0.000189681335356601
"76",0.000189681335356601
"77",0.000189681335356601
"78",0.00021079258010118
"79",0.00021079258010118
"80",0.00021079258010118
"81",0.00021079258010118
"82",0.00021079258010118
"83",0.00021079258010118
"84",0.00021079258010118
"85",0.00021079258010118
"86",0.00021079258010118
"87",0.00021079258010118
"88",0.00021079258010118
"89",0.00021079258010118
"90",0.00021079258010118
"91",0.00021079258010118
